attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
tile_id		character				
tag_id		character				
site		categorical				
deployment_date		Date		!Add datetime specifier here!		
retrival_date		Date		!Add datetime specifier here!		
deployment_time		Date		!Add datetime specifier here!		
tile_side		categorical				
coral_recruits		numeric	!Add units here!			
poc		numeric	!Add units here!			
acr		numeric	!Add units here!			
por		numeric	!Add units here!			
other		numeric	!Add units here!			
unknown		numeric	!Add units here!			
annectocyma_ann		numeric	!Add units here!			
beania_2_spiny_beans		categorical				
bitectiporidae_pleurocodonellina_ple		categorical				
bryopensanser_bryop		categorical				
bugulidae_bugula_bug		categorical				
calloporidae_parellisina_paral		categorical				
celleporiaria_cel		categorical				
chorizopora_chor		categorical				
crepidacanthidae_cripidacantha_cre		categorical				
cribrilinidae_puellina_pue		categorical				
hippothoidae_hippothoa_hip		categorical				
lichenoporidae_disporella_dis		categorical				
phidoloporidae_rhynchozoon_rhy		numeric	!Add units here!			
poricella_por		numeric	!Add units here!			
smittinidae_parasmittina_paras		numeric	!Add units here!			
thalamoporellidae_thalamoporella_tha		numeric	!Add units here!			
tubuliporidae_tubulipora_tub		numeric	!Add units here!			
turbicellepora_turbi		numeric	!Add units here!			
margaretta_mar		numeric	!Add units here!			
stylopoma_sty		numeric	!Add units here!			
algae_a		numeric	!Add units here!			
turf		numeric	!Add units here!			
ccad		categorical				
ccadd		categorical				
ccadg		categorical				
cca		character				
cyan		categorical				
dic		numeric	!Add units here!			
gab		categorical				
gea		categorical				
lob		categorical				
mac		categorical				
pey		categorical				
thin_layer_of_algae		categorical				
fringy_algae_unknown		categorical				
amph		categorical				
brye		categorical				
for		categorical				
hydc		categorical				
hydrd		categorical				
invt		categorical				
spo		categorical				
tubw		categorical				
tun		categorical				
verm		categorical				
bare		categorical				
sed		categorical				
unknown_2		categorical				
tape		categorical				
cor		categorical				
dead		numeric	!Add units here!			
grazed		categorical				
bryozoans		numeric	!Add units here!			
grazed_cca_grazed		numeric	!Add units here!			
